"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"1703","SEE943210695102","Volkswagen AG","DT30 GuD Süd Wolfsburg","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","27.12.2021","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Wärme","Ja","nein","37,00","36,20",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1704","SEE919939073064","Volkswagen AG","GT 31 GuD Süd Wolfsburg","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","27.12.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","49,50","49,40",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1705","SEE984196895179","Volkswagen AG","GT32 GuD Süd Wolfsburg","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","27.12.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","49,50","49,40",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1706","SEE998984420832","Volkswagen AG","HKW Nord Generator A","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","01.10.1998","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","68,20","61,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1707","SEE920837459195","Volkswagen AG","HKW Nord Generator B","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","18.09.1998","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","68,20","61,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1708","SEE959000487536","Volkswagen AG","HKW West Block 1","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","31.01.1985","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","153,00","138,50",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1709","SEE917432813484","Volkswagen AG","HKW West Block 2","38440","Wolfsburg","Berliner Ring","2","Niedersachsen","01.05.1985","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","153,00","138,50",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096)","Hochspannung"
"1710","SEE924235173530","Grace GmbH","GT1","67547","Worms","In der Hollerhecke","1","Rheinland-Pfalz","27.08.1991","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","6,50","6,41",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","EWR Netz GmbH (SNB969068596941)","Mittelspannung"
"1711","SEE900100287427","Grace GmbH","GT2","67547","Worms","In der Hollerhecke","1","Rheinland-Pfalz","27.08.1991","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","6,50","6,41",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","EWR Netz GmbH (SNB969068596941)","Mittelspannung"
"1712","SEE956884287917","Röhm GmbH","Generator 2","67547","Worms","Im Pfaffenwinkel","6","Rheinland-Pfalz","20.11.1990","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","12,30","11,90",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","EWR Netz GmbH (SNB969068596941)","Mittelspannung"
"1713","SEE904364883227","Röhm GmbH","KonTu","67547","Worms","Im Pfaffenwinkel","6","Rheinland-Pfalz","12.03.2012","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","7,10","6,90",NA,"Kondensationsmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","EWR Netz GmbH (SNB969068596941)","Mittelspannung"
"1714","SEE914749097217","Daimler Truck AG","129870 Modul 1","76744","Wörth","Daimlerstraße","1","Rheinland-Pfalz","20.02.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,49","4,44",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Umspannebene Hochspannung/Mittelspannung"
"1715","SEE969792129750","Daimler Truck AG","129870 Modul 2","76744","Wörth","Daimlerstraße","1","Rheinland-Pfalz","20.02.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,49","4,44",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Umspannebene Hochspannung/Mittelspannung"
"1716","SEE900240101683","Daimler Truck AG","129870 Modul 3","76744","Wörth","Daimlerstraße","1","Rheinland-Pfalz","20.02.2013","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,49","4,44",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Umspannebene Hochspannung/Mittelspannung"
"1717","SEE976944273018","Daimler Truck AG","Rollenprüfstand 1, Gebäude 38","76744","Wörth","Daimlerstraße","1","Rheinland-Pfalz","18.09.2019","","In Betrieb","Mineralölprodukte","Dieselkraftstoff","Mineralölprodukte","Nein","nein","1,36","1,36",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Pfalzwerke Netz AG (SNB961471621746)","Umspannebene Hochspannung/Mittelspannung"
"1718","SEE995077047419","Palm Power GmbH & Co. KG","HKW Wörth","76744","Wörth","Am Oberwald","2","Rheinland-Pfalz","30.11.2007","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","61,00","58,00",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","Pfalzwerke Netz AG (SNB961471621746)","Hochspannung"
"1719","SEE900559860912","WUN Pellets GmbH","WUN Pellets - BHKW - Modul II","95632","Wunsiedel","Am Energiepark","1","Bayern","01.10.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,41",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWW Wunsiedel GmbH (SNB967812386411)","Mittelspannung"
"1720","SEE998778600532","WUN Pellets GmbH","WUN Pellets - BHKW-Modul I","95632","Wunsiedel","Am Energiepark","1","Bayern","01.10.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,41",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWW Wunsiedel GmbH (SNB967812386411)","Mittelspannung"
"1721","SEE926582462244","WUN Pellets GmbH","WUN Pellets - BHKW-Modul III","95632","Wunsiedel","Am Energiepark","1","Bayern","01.10.2018","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","4,50","4,41",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","SWW Wunsiedel GmbH (SNB967812386411)","Mittelspannung"
"1722","SEE985220684011","K+S Minerals and Agriculture GmbH","Kraftwerk SI DT2","31515","Wunstorf","Schachtstraße","10","Niedersachsen","02.07.1973","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Wärme","Ja","nein","9,44","9,30",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Mittelspannung"
"1723","SEE950309975076","K+S Minerals and Agriculture GmbH","Kraftwerk SI DT3","31515","Wunstorf","Schachtstraße","10","Niedersachsen","02.07.1997","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","7,64","7,50",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Mittelspannung"
"1724","SEE979811488683","K+S Minerals and Agriculture GmbH","Kraftwerk SI GT1","31515","Wunstorf","Schachtstraße","10","Niedersachsen","02.07.1993","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,58","5,50",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Mittelspannung"
"1725","SEE995596088894","3M Deutschland GmbH","3M Deutschland GmbH T3 Wuppertal","42289","Wuppertal","Öhder Straße","28","Nordrhein-Westfalen","19.07.1957","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","12,00","5,50",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","WSW Netz GmbH (SNB914306944756)","Mittelspannung"
"1726","SEE945933440847","3M Deutschland GmbH","3M Wuppetal Kraftwerk T4","42289","Wuppertal","Öhder Straße","28","Nordrhein-Westfalen","10.06.1963","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","17,00","5,50",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","WSW Netz GmbH (SNB914306944756)","Mittelspannung"
"1727","SEE994551453975","EkoCity","Generator A","42349","Wuppertal","Korzert","15","Nordrhein-Westfalen","01.01.1976","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","20,00","20,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1728","SEE945602121718","EkoCity","Generator B","42349","Wuppertal","Korzert","15","Nordrhein-Westfalen","01.01.1976","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","20,00","20,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1729","SEE921479798321","EkoCity","Generator C","42349","Wuppertal","Korzert","15","Nordrhein-Westfalen","20.12.2017","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","9,38","9,38",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1730","SEE994055644299","WSW Energie & Wasser AG","BHKW15","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","04.12.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","2,68","2,62",NA,"Verbrennungsmotor","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1731","SEE968471468838","WSW Energie & Wasser AG","DT23","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","30.12.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","30,00","29,20",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1732","SEE960352714492","WSW Energie & Wasser AG","GT11","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","30.12.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","28,50","27,60",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1733","SEE978399772948","WSW Energie & Wasser AG","GT12","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","30.12.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","28,50","27,60",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1734","SEE966083015792","WSW Energie & Wasser AG","GT21","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","09.07.2008","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","30,00","29,40",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1735","SEE921706084241","WSW Energie & Wasser AG","GT22","42275","Wuppertal","Am Clef","32","Nordrhein-Westfalen","09.07.2008","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","30,00","29,40",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","WSW Netz GmbH (SNB914306944756)","Hochspannung"
"1736","SEE910471578864","Stadtwerke Würzburg AG","Heizkraftwerk an der Friedensbrücke DampfturbineII","97080","Würzburg","Veitshöchheimer Straße","1","Bayern","26.10.1993","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","25,50","25,00",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Mainfranken Netze GmbH (SNB915316807789)","Mittelspannung"
"1737","SEE972526098451","Stadtwerke Würzburg AG","Heizkraftwerk an der Friedensbrücke DampfturbineIII","97080","Würzburg","Veitshöchheimer Straße","1","Bayern","08.10.1971","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","23,50","23,00",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Mainfranken Netze GmbH (SNB915316807789)","Mittelspannung"
"1738","SEE994055148599","Stadtwerke Würzburg AG","Heizkraftwerk an der Friedensbrücke DampfturbineIV","97080","Würzburg","Veitshöchheimer Straße","1","Bayern","12.11.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","20,50","20,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Mainfranken Netze GmbH (SNB915316807789)","Mittelspannung"
"1739","SEE967844487346","Stadtwerke Würzburg AG","Heizkraftwerk an der Friedensbrücke GasturbineI","97080","Würzburg","Veitshöchheimer Straße","1","Bayern","21.02.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","51,50","51,00",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Mainfranken Netze GmbH (SNB915316807789)","Hochspannung"
"1740","SEE944095305490","Stadtwerke Würzburg AG","Heizkraftwerk an der Friedensbrücke GasturbineII","97080","Würzburg","Veitshöchheimer Straße","1","Bayern","13.02.2009","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","30,50","30,00",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Mainfranken Netze GmbH (SNB915316807789)","Hochspannung"
"1741","SEE990065849372","Zweckverband Abfallwirtschaft Raum Würzburg","TS I","97076","Würzburg","Gattingerstraße","31","Bayern","04.06.1984","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","11,50","8,70",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mainfranken Netze GmbH (SNB915316807789)","Mittelspannung"
"1742","SEE971796321603","Zweckverband Abfallwirtschaft Raum Würzburg","TS II","97076","Würzburg","Gattingerstraße","31","Bayern","09.11.1998","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","16,00","12,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mainfranken Netze GmbH (SNB915316807789)","Mittelspannung"
"1743","SEE921449009914","CropEnergies Bioethanol GmbH","Dampfturbine IV CropEnergies Zeitz","6712","Zeitz","Albrechtstraße","54","Sachsen-Anhalt","01.01.2004","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Braunkohle","Ja","nein","20,27","17,77",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Umspannebene Hochspannung/Mittelspannung"
"1744","SEE970305352633","Südzucker AG","Dampfturbine III Südzucker Zeitz","6712","Zeitz","Albrechtstraße","54","Sachsen-Anhalt","01.08.1993","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Braunkohle","Ja","nein","19,40","16,90",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Umspannebene Hochspannung/Mittelspannung"
"1745","SEE972612434835","Südzucker AG","Dampfturbine V Südzucker Zeitz","6712","Zeitz","Albrechtstraße","54","Sachsen-Anhalt","23.12.2016","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","5,80","5,64",NA,"Gegendruckmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Umspannebene Hochspannung/Mittelspannung"
"1746","SEE951648072822","Zweckverband für Abfallwirtschaft Südwestthüringen (ZASt)","ZASt","98544","Zella-Mehlis","Am Schießstand","15","Thüringen","15.10.2007","","In Betrieb","nicht biogener Abfall","Abfall (Hausmüll, Siedl.abf.)","Abfall","Ja","nein","13,70","12,10",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Stadtwerke Suhl/Zella-Mehlis Netz GmbH (SNB935760057516)","Mittelspannung"
"1747","SEE969618944758","RWE Generation Hydro GmbH","Zeltingen Maschine 1","54492","Zeltingen-Rachtig","Uferallee","1","Rheinland-Pfalz","01.01.1964","","In Betrieb","Wasser","","Wasser","Nein","nein","3,40","3,40",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1748","SEE931088083121","RWE Generation Hydro GmbH","Zeltingen Maschine 2","54492","Zeltingen-Rachtig","Uferallee","1","Rheinland-Pfalz","01.01.1964","","In Betrieb","Wasser","","Wasser","Nein","nein","3,40","3,40",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1749","SEE941420464426","RWE Generation Hydro GmbH","Zeltingen Maschine 3","54492","Zeltingen-Rachtig","Uferallee","1","Rheinland-Pfalz","01.01.1964","","In Betrieb","Wasser","","Wasser","Nein","nein","3,40","3,40",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1750","SEE961196425506","RWE Generation Hydro GmbH","Zeltingen Maschine 4","54492","Zeltingen-Rachtig","Uferallee","1","Rheinland-Pfalz","01.01.1964","","In Betrieb","Wasser","","Wasser","Nein","nein","3,40","3,40",NA,"","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Mittelspannung"
"1751","SEE950355589975","K+S Minerals and Agriculture GmbH","Kraftwerk ZI DT 2","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.2010","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","29,96","29,49",NA,"Kondensationsmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1752","SEE979396678813","K+S Minerals and Agriculture GmbH","Kraftwerk ZI DT1","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.1980","","In Betrieb","Wärme","Dampf (zum Beispiel Prozesswärme)","Erdgas","Ja","nein","18,34","18,10",NA,"Kondensationsmaschine ohne Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1753","SEE936181210535","K+S Minerals and Agriculture GmbH","Kraftwerk ZI GT 2","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,58","5,49",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1754","SEE955837429145","K+S Minerals and Agriculture GmbH","KW ZI Austausch-Geno","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.1995","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,25","5,25",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1755","SEE939524649245","K+S Minerals and Agriculture GmbH","ZI Tr GT1","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,60","5,50",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1756","SEE915098640406","K+S Minerals and Agriculture GmbH","ZI TR GT2","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.07.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,59","5,50",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1757","SEE994968008959","K+S Minerals and Agriculture GmbH","ZI Tr GT3","39326","Zielitz","Farsleber Straße","1","Sachsen-Anhalt","02.06.2005","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","1,54","1,52",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Avacon Netz GmbH (SNB990362338043)","Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung; Hochspannung"
"1758","SEE918648599230","Biomasseheizkraftwerk Zolling GmbH","Zolling Biomasse-HKW","85406","Zolling","Leiningerstraße","1","Bayern","28.11.2003","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","19,98","19,50",NA,"Kondensationsmaschine mit Entnahme","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"1759","SEE958847865460","Onyx Kraftwerk Zolling GmbH &Co. KGaA","Kraftwerk Zolling","85406","Zolling","Leiningerstraße","1","Bayern","01.01.1985","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","501,00","472,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","TenneT TSO GmbH (SNB970033313272)","Höchstspannung"
"1760","SEE962777669616","Onyx Kraftwerk Zolling GmbH &Co. KGaA","Zolling GT1","85406","Zolling","Leiningerstraße","1","Bayern","01.01.1986","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","25,00","24,50",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"1761","SEE949509046600","Onyx Kraftwerk Zolling GmbH &Co. KGaA","Zolling GT2","85406","Zolling","Leiningerstraße","1","Bayern","01.01.1976","","In Betrieb","Mineralölprodukte","Heizöl, leicht","Mineralölprodukte","Nein","nein","25,00","24,50",NA,"Gasturbinen ohne Abhitzekessel","Volleinspeisung","Bayernwerk Netz GmbH (SNB940352624434)","Hochspannung"
"1762","SEE991324265957","Smurfit Kappa Zülpich Papier GmbH","DT06","53909","Zülpich","Zum Mühlengraben","1","Nordrhein-Westfalen","22.10.2010","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","15,55","14,38",NA,"Gegendruckmaschine ohne Entnahme","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Umspannebene Hochspannung/Mittelspannung"
"1763","SEE998356674993","Smurfit Kappa Zülpich Papier GmbH","GT1","53909","Zülpich","Zum Mühlengraben","1","Nordrhein-Westfalen","01.04.1996","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,40","4,95",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Umspannebene Hochspannung/Mittelspannung"
"1764","SEE922579581844","Smurfit Kappa Zülpich Papier GmbH","GT2","53909","Zülpich","Zum Mühlengraben","1","Nordrhein-Westfalen","01.04.1996","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,99","4,95",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Umspannebene Hochspannung/Mittelspannung"
"1765","SEE968206101610","Smurfit Kappa Zülpich Papier GmbH","GT3","53909","Zülpich","Zum Mühlengraben","1","Nordrhein-Westfalen","01.12.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","5,40","4,95",NA,"Gasturbinen mit Abhitzekessel","Volleinspeisung","Westnetz GmbH (SNB921897286493)","Umspannebene Hochspannung/Mittelspannung"
"1766","SEE970806189455","Volkswagen Sachsen GmbH","BHKW-G66-KWK-groß","8058","Zwickau","Glauchauer Straße","40","Sachsen","13.02.2014","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","12,90","12,75",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Umspannebene Hochspannung/Mittelspannung"
"1767","SEE937830141170","Volkswagen Sachsen GmbH","BHKW-G66-KWK-klein","8058","Zwickau","Glauchauer Straße","40","Sachsen","28.11.2017","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","3,80","3,74",NA,"Verbrennungsmotor","Teileinspeisung (einschließlich Eigenverbrauch)","Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)","Umspannebene Hochspannung/Mittelspannung"
"1768","SEE9-Dummy-EEG","EEG-Anlagen < 10 MW","","","","","","Baden-Württemberg","","","In Betrieb","Biomasse","","Biomasse","","","832,98","839,09",NA,"","","",""
"1769","SEE9-Dummy-EEG","EEG-Anlagen < 10 MW","","","","","","Bayern","","","In Betrieb","Biomasse","","Biomasse","","","1.817,30","1.825,80",NA,"","","",""
"1770","SEE9-Dummy-EEG","EEG-Anlagen < 10 MW","","","","","","Berlin","","","In Betrieb","Biomasse","","Biomasse","","","22,26","22,27",NA,"","","",""
